"alpha","phi","tau","Aff","Apt","AptNet","AptNet_market","E_apt","Erent","Tax","PV","Density","Q1","Q2","Q3","Q4","Q5","Erent_chg","Erent_chg_perc","AptNet_chg","Aff_chg","Density_chg","Tax_chg","PV_chg"
0,0.2,0,462.846868677022,203202.228137943,150415.19671342,149952.349844743,3978999.9458428,2728.99540829591,399973.507958124,1545334.44817777,60.8419342321382,804146.670055171,800653.292718954,784426.543555306,779503.602604415,810267.817830005,14.8196595575196,0.0054600957820834,24200.620262201,14.191212723645,0.00611930423515261,-0.00426695216312922,-0.00770752406052166
0,0.2,10,752.458387588935,311478.225624497,211487.245749105,210734.787361516,4040071.99487848,2754.09759964999,388375.808827552,1521338.42561396,61.7757722923104,840344.008161586,819398.001201309,758801.322845661,752118.538619809,869408.104971172,39.9218509115999,0.0147086462363966,85272.669297886,303.802731635558,0.0215618195204812,-0.0331393951459993,-0.0231158860954328
0,0.2,12.5,824.277519983482,334271.259796506,223469.852091891,222645.574571907,4052054.60122127,2759.16474450313,385571.161202094,1517005.10783223,61.9589954531448,848170.293693786,820839.526938532,755313.017533495,745154.089443462,882575.654533046,44.9889957647397,0.0165755647126578,97255.275640672,375.621864030105,0.0245917093723573,-0.0401215583959167,-0.0258984026152295
0,0.2,15,892.968057317886,355086.783733825,234181.332516645,233288.364459328,4062766.08164602,2763.74520569659,382895.383898485,1513236.64608525,62.122782132311,855533.053153631,822412.843697268,750391.935425933,740932.978339834,893493.251950411,49.5694569581997,0.0182631714181518,107966.756065426,444.312401364509,0.0273001857179145,-0.0467828993018606,-0.0283182129299503
0,0.2,17.5,957.758949442885,373949.905811901,243706.139147002,242748.380197559,4072290.88827638,2767.86540187968,380377.074371579,1509973.21311676,62.2684236669844,862533.194905297,823351.033162046,746575.920690044,736240.605812142,903588.114627906,53.6896531412899,0.0197811999338091,117491.562695783,509.103293489508,0.0297086028956828,-0.0530522245714864,-0.0304137334072062
0,0.2,2.5,531.821587677622,232249.999412906,167533.348124744,167001.526537067,3996118.09725412,2735.89888963708,397137.956164785,1538255.73553418,61.1036837814016,814829.687377851,806164.535760312,776319.793914789,773479.669307646,825322.391814577,21.72314089869,0.00800358669065093,41318.771673525,83.165931724245,0.0104477543035537,-0.0113260512617034,-0.0122529176507926
0,0.2,20,1018.16869868706,390939.048383694,252146.066152486,251127.897453799,4080730.81528186,2771.55701670862,378032.631780858,1507151.15664229,62.3974765674068,867637.106639745,824309.895558294,743616.090897004,731172.508126001,913993.194981875,57.3812679702296,0.0211413236585367,125931.489701267,569.513042733683,0.0318427003076276,-0.0588887085382735,-0.0322258365474648
0,0.2,22.5,1073.69495099839,406087.225620686,259556.732221749,258483.037270751,4088141.48135113,2774.75915093672,375854.440855734,1504649.12935438,62.5107912856122,871524.733045283,825892.729818977,740558.437775124,727993.071195238,922170.490437559,60.5834021983296,0.022321105118742,133342.15577053,625.039295045013,0.0337165415468859,-0.0643113093993071,-0.0338324420659762
0,0.2,25,1124.81961444769,419648.658753361,266104.138082117,264979.318467669,4094688.8872115,2777.67443269874,373873.837995792,1502542.38963201,62.6109060989245,875222.364207204,826709.20844331,737377.700030044,726178.631243827,929198.964208164,63.4986839603498,0.0233951998096902,139889.561630898,676.163958494313,0.0353721011142245,-0.069242015266184,-0.0351852249394415
0,0.2,27.5,1171.42483738288,431694.960083172,271851.162622967,270679.737785584,4100435.91175235,2780.2617870389,372073.988265366,1500728.29868984,62.6987824733663,879212.938627298,827143.351739375,734840.382272735,723458.341253095,935778.878780895,66.0860383005097,0.0243484742398232,145636.586171748,722.769181429503,0.0368252783977532,-0.0737227366691452,-0.0363500917387988
0,0.2,30,1213.68401042588,442368.066622891,276893.253670569,275679.569660143,4105478.00279995,2782.55331093187,370447.450237345,1499163.9223903,62.7758798787661,882293.38556774,828029.704450369,732657.815267064,721167.321222089,941327.757213739,68.3775621934797,0.025192754089437,150678.67721935,765.028354472503,0.0381002080800217,-0.0777719990223745,-0.0373546113969231
0,0.2,5,604.418824110092,260243.007132913,183501.735507234,182897.316683124,4012086.48463661,2742.41844133089,394207.888303489,1531894.71544886,61.3478525645487,824988.833043454,810510.074022421,769600.625699837,766921.84613305,840063.086658902,28.2426925924997,0.0104056241036077,57287.159056015,155.763168156715,0.0144854781089572,-0.0186204478750975,-0.016337465418045
0,0.2,7.5,678.534800984771,286723.71564569,198157.976854613,197479.442053628,4026742.72598399,2748.46774414002,391258.611679738,1526240.85514416,61.5719576372515,833518.058638207,815990.259981168,762389.163516595,759391.91604067,855451.308728404,34.2919954016297,0.0126344049082192,71943.400403394,229.879145031394,0.018191416170739,-0.0259626646545876,-0.0199679306852771
0,0.25,0,467.949023678954,211218.46751908,156005.917566285,155537.968542606,3984590.66669566,2732.58962530013,399533.519679004,1542538.03223842,60.9274206043599,808296.295277489,801915.23880898,782894.970976791,776542.972203024,814939.170350431,18.4138765617399,0.00678433464387829,29791.341115066,19.293367725577,0.0075329589853963,-0.00536230188370757,-0.00950316286187392
0,0.25,10,768.274689873223,324750.198573209,220490.370056168,219722.095366295,4049075.11918555,2759.14503114296,387503.81303293,1517147.53908418,61.9134369076483,845250.088158708,822014.873692832,758340.693491492,745654.580363456,877812.864400111,44.9692824045696,0.0165683016014981,94275.793604949,319.619033919846,0.0238383254986294,-0.0353102264960866,-0.0258069444458893
0,0.25,12.5,842.546897642418,348568.709564878,233136.509612257,232293.962714614,4061721.25874164,2764.44402087649,384599.356661998,1512565.77918704,62.1068059957695,854234.35845405,823712.780665824,752330.884673349,740772.868119494,890668.347749971,50.2682721380997,0.0185206400733133,106921.933161038,393.891241689041,0.0270359945874981,-0.042540863368267,-0.0287489909898295
