alpha,tau,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.175,24.0,74149.1,53119.8,21029.4,0.4901
0.175,25.0,75979.2,53702.9,22276.3,0.5148
0.175,26.0,77789.4,54454.3,23335.1,0.5368
0.175,27.0,79441.7,54986.6,24455.1,0.5594
0.175,28.0,81076.4,55672.5,25403.9,0.5797
0.175,29.0,82552.2,56297.6,26254.6,0.5982
0.175,30.0,84043.3,56782.8,27260.5,0.6189
0.2,0.0,-9016.4,29825.1,-38841.5,-0.5278
0.2,1.0,-4083.2,31459.6,-35542.8,-0.4765
0.2,2.0,739.3,33081.1,-32341.8,-0.4257
0.2,3.0,5440.2,34683.2,-29242.9,-0.3767
0.2,4.0,10008.7,36261.7,-26253.0,-0.3284
0.2,5.0,14455.4,37817.0,-23361.6,-0.2798
0.2,6.0,18747.6,39337.0,-20589.4,-0.2333
0.2,7.0,22894.2,40822.5,-17928.3,-0.188
0.2,8.0,26896.2,42271.7,-15375.5,-0.1441
0.2,9.0,30749.8,43682.1,-12932.3,-0.1016
0.2,10.0,34455.7,45052.7,-10597.0,-0.0604
0.2,11.0,37944.1,46361.6,-8417.5,-0.0212
0.2,12.0,41432.6,47670.6,-6238.0,0.018
0.2,13.0,44641.1,48895.9,-4254.8,0.0544
0.2,14.0,47849.6,50121.1,-2271.5,0.0908
0.2,15.0,50779.8,51258.5,-478.6,0.1236
0.2,16.0,53710.0,52395.8,1314.3,0.1564
0.2,17.0,56385.4,53450.6,2934.9,0.1873
0.2,18.0,59060.8,54505.3,4555.5,0.2182
0.2,19.0,61490.0,55477.7,6012.2,0.2466
0.2,20.0,63919.1,56450.1,7469.0,0.275
0.2,21.0,66126.4,57345.1,8781.3,0.3011
0.2,22.0,68333.6,58240.0,10093.5,0.3272
0.2,23.0,70335.2,59061.3,11273.9,0.3513
0.2,24.0,72336.8,59882.5,12454.3,0.3753
0.2,25.0,74147.1,60633.9,13513.1,0.3974
0.2,26.0,75957.3,61385.3,14572.0,0.4195
0.2,27.0,77592.0,62071.2,15520.8,0.4397
0.2,28.0,79226.7,62757.1,16469.6,0.46
0.2,29.0,80702.4,63382.3,17320.2,0.4785
0.2,30.0,82178.2,64007.4,18170.8,0.497
0.225,0.0,-10128.7,33084.7,-43213.4,-0.5874
0.225,1.0,-5248.7,34890.8,-40139.6,-0.5392
0.225,2.0,-482.2,36680.9,-37163.1,-0.492
0.225,3.0,4173.8,38452.8,-34279.0,-0.4452
0.225,4.0,8696.8,40197.6,-31500.9,-0.3997
0.225,5.0,13087.6,41912.6,-28825.0,-0.3553
0.225,6.0,17351.5,43597.7,-26246.2,-0.3102
0.225,7.0,21458.9,45240.1,-23781.3,-0.2675
0.225,8.0,25424.0,46842.8,-21418.7,-0.2261
0.225,9.0,29243.5,48402.6,-19159.1,-0.1859
0.225,10.0,32917.1,49918.2,-17001.2,-0.147
0.225,11.0,36369.6,51353.5,-14983.8,-0.11
0.225,12.0,39834.2,52734.1,-12899.9,-0.0721
0.225,13.0,43042.8,53959.4,-10916.6,-0.0357
0.225,14.0,46199.1,55440.5,-9241.5,-0.0033
0.225,15.0,49129.3,56577.9,-7448.6,0.0295
0.225,16.0,52015.0,57953.8,-5938.8,0.0587
0.225,17.0,54690.4,59008.5,-4318.2,0.0896
0.225,18.0,57329.9,60285.3,-2955.4,0.1172
0.225,19.0,59724.7,61461.6,-1736.9,0.1424
0.225,20.0,62153.8,62434.0,-280.2,0.1707
0.225,21.0,64330.3,63516.4,813.9,0.194
0.225,22.0,66537.5,64411.3,2126.2,0.2201
0.225,23.0,68539.2,65232.6,3306.6,0.2441
0.225,24.0,70514.7,66226.2,4288.5,0.2655
0.225,25.0,72303.5,67135.7,5167.8,0.2851
0.225,26.0,74113.7,67887.1,6226.6,0.3072
0.225,27.0,75729.8,68717.5,7012.3,0.3253
0.225,28.0,77364.5,69403.4,7961.1,0.3455
0.225,29.0,78823.7,70160.3,8663.4,0.362
0.225,30.0,80299.4,70785.4,9514.0,0.3806
0.25,0.0,-11237.3,36249.6,-47486.9,-0.6458
0.25,1.0,-6410.9,38221.4,-44632.2,-0.6005
0.25,2.0,-1700.4,40173.5,-41873.8,-0.5568
0.25,3.0,2910.8,42109.7,-39198.9,-0.5123
0.25,4.0,7387.5,44015.0,-36627.5,-0.4695
0.25,5.0,11733.7,45887.7,-34154.1,-0.4277
0.25,6.0,15956.8,47728.6,-31771.8,-0.3854
0.25,7.0,20025.5,49522.8,-29497.4,-0.3452
0.25,8.0,23952.9,51273.6,-27320.8,-0.3062
0.25,9.0,27737.9,52978.1,-25240.2,-0.2684
0.25,10.0,31378.9,54634.2,-23255.2,-0.2318
0.25,11.0,34807.4,56215.9,-21408.5,-0.197
0.25,12.0,38235.9,57797.6,-19561.7,-0.1622
0.25,13.0,41392.2,59278.8,-17886.6,-0.1298
0.25,14.0,44548.5,60759.9,-16211.4,-0.0974
0.25,15.0,47434.2,62135.8,-14701.6,-0.0682
0.25,16.0,50320.0,63511.7,-13191.8,-0.039
0.25,17.0,52959.5,64788.5,-11829.0,-0.0115
0.25,18.0,55599.0,66065.3,-10466.3,0.0161
0.25,19.0,57993.8,67241.6,-9247.8,0.0413
0.25,20.0,60388.5,68417.8,-8029.3,0.0665
0.25,21.0,62565.0,69500.2,-6935.2,0.0897
0.25,22.0,64741.5,70582.6,-5841.1,0.113
0.25,23.0,66717.0,71576.2,-4859.2,0.1343
0.25,24.0,68692.6,72569.8,-3877.3,0.1557
0.25,25.0,70481.4,73479.4,-2998.0,0.1753
0.25,26.0,72270.2,74388.9,-2118.7,0.195
0.25,27.0,73886.2,75219.3,-1333.1,0.213
0.25,28.0,75502.2,76049.7,-547.5,0.231
0.25,29.0,76961.4,76806.5,154.9,0.2476
0.25,30.0,78420.6,77563.4,857.3,0.2641
0.275,0.0,-12341.4,39313.7,-51655.1,-0.7027
0.275,1.0,-7569.2,41444.3,-49013.6,-0.6603
0.275,2.0,-2903.8,43556.5,-46460.3,-0.6186
0.275,3.0,1657.9,45649.1,-43991.2,-0.5768
0.275,4.0,6081.2,47705.7,-41624.4,-0.5376
0.275,5.0,10382.3,49730.1,-39347.8,-0.4984
0.275,6.0,14562.9,51720.2,-37157.4,-0.4588
0.275,7.0,18593.8,53661.4,-35067.6,-0.4211
0.275,8.0,22483.5,55554.6,-33071.2,-0.3845
0.275,9.0,26233.4,57398.6,-31165.2,-0.349
0.275,10.0,29841.1,59190.0,-29348.9,-0.3146
0.275,11.0,33245.5,60836.9,-27591.3,-0.281
0.275,12.0,36637.8,62534.7,-25896.9,-0.2482
0.275,13.0,39739.6,64254.3,-24514.7,-0.2197
0.275,14.0,42895.9,65735.5,-22839.5,-0.1873
0.275,15.0,45742.0,67337.6,-21595.6,-0.1609
0.275,16.0,48627.8,68713.5,-20085.7,-0.1317
0.275,17.0,51267.3,69990.2,-18723.0,-0.1041
0.275,18.0,53862.5,71471.6,-17609.1,-0.0805
0.275,19.0,56222.5,72839.0,-16616.5,-0.0583
0.275,20.0,58617.2,74015.3,-15398.0,-0.0331
0.275,21.0,60762.8,75273.4,-14510.6,-0.0126
0.275,22.0,62939.3,76355.8,-13416.5,0.0106
0.275,23.0,64887.3,77510.7,-12623.4,0.0295
0.275,24.0,66862.8,78504.3,-11641.5,0.0508
0.275,25.0,68651.6,79413.8,-10762.2,0.0705
0.275,26.0,70416.9,80471.3,-10054.3,0.0878
0.275,27.0,72013.1,81437.1,-9424.0,0.1037
0.275,28.0,73629.1,82267.5,-8638.4,0.1217
0.275,29.0,75088.3,83024.4,-7936.0,0.1382
0.275,30.0,76530.5,83904.9,-7374.5,0.1528
0.3,0.0,-13441.0,42286.5,-55727.5,-0.7584
0.3,1.0,-8723.8,44569.3,-53293.1,-0.7189
0.3,2.0,-4109.9,46833.5,-50943.4,-0.6799
0.3,3.0,396.9,49074.1,-48677.2,-0.6415
0.3,4.0,4778.2,51281.3,-46503.1,-0.6042
0.3,5.0,9033.7,53451.8,-44418.1,-0.5675
0.3,6.0,13160.8,55580.7,-42419.9,-0.5319
0.3,7.0,17163.5,57668.3,-40504.8,-0.4954
0.3,8.0,21015.9,59699.3,-38683.4,-0.4611
0.3,9.0,24729.8,61677.5,-36947.7,-0.4278
0.3,10.0,28304.4,63599.8,-35295.4,-0.3956
0.3,11.0,31672.0,65435.8,-33763.8,-0.3649
0.3,12.0,35039.6,67271.8,-32232.1,-0.3343
0.3,13.0,38141.5,68991.4,-30849.9,-0.3058
0.3,14.0,41243.4,70711.0,-29467.6,-0.2772
0.3,15.0,44089.5,72313.1,-28223.7,-0.2508
0.3,16.0,46935.5,73915.2,-26979.7,-0.2243
0.3,17.0,49530.8,75396.5,-25865.8,-0.2007
0.3,18.0,52126.0,76877.8,-24751.8,-0.1771
0.3,19.0,54486.0,78245.3,-23759.3,-0.1548
0.3,20.0,56846.0,79612.7,-22766.8,-0.1326
0.3,21.0,58991.6,80870.9,-21879.3,-0.1122
0.3,22.0,61137.2,82129.0,-20991.9,-0.0917
0.3,23.0,63085.1,83283.9,-20198.8,-0.0729
0.3,24.0,65033.0,84438.7,-19405.7,-0.054
0.3,25.0,66798.4,85496.2,-18697.8,-0.0367
0.3,26.0,68563.7,86553.6,-17989.9,-0.0194
0.3,27.0,70159.9,87519.5,-17359.6,-0.0035
0.3,28.0,71756.0,88485.4,-16729.3,0.0124
0.3,29.0,73198.2,89365.9,-16167.8,0.027
0.3,30.0,74640.3,90246.5,-15606.2,0.0416
0.325,0.0,-14541.2,45189.7,-59731.0,-0.813
0.325,1.0,-9880.1,47618.8,-57498.9,-0.7763
0.325,2.0,-5317.7,50029.9,-55347.7,-0.74
0.325,3.0,-866.8,52412.7,-53279.5,-0.7049
0.325,4.0,3472.4,54765.7,-51293.3,-0.6695
0.325,5.0,7681.4,57076.9,-49395.5,-0.6354
0.325,6.0,11765.1,59344.5,-47579.4,-0.6021
0.325,7.0,15727.5,61568.8,-45841.3,-0.5682
0.325,8.0,19542.5,63733.4,-44190.9,-0.5362
0.325,9.0,23219.8,65841.1,-42621.4,-0.5051
0.325,10.0,26760.8,67890.5,-41129.7,-0.4751
0.325,11.0,30103.7,69785.9,-39682.2,-0.4456
0.325,12.0,33434.0,71728.9,-38294.9,-0.4168
0.325,13.0,36535.9,73448.6,-36912.6,-0.3883
0.325,14.0,39581.1,75390.8,-35809.7,-0.3635
0.325,15.0,42377.8,77201.2,-34823.4,-0.3404
0.325,16.0,45223.9,78803.3,-33579.4,-0.314
0.325,17.0,47819.2,80284.6,-32465.5,-0.2903
0.325,18.0,50379.1,81964.3,-31585.2,-0.269
0.325,19.0,52698.5,83508.0,-30809.4,-0.2504
0.325,20.0,55058.5,84875.4,-29816.9,-0.2281
0.325,21.0,57204.1,86133.6,-28929.5,-0.2077
0.325,22.0,59318.3,87557.4,-28239.1,-0.1899
0.325,23.0,61266.3,88712.3,-27446.0,-0.171
0.325,24.0,63185.8,90018.8,-26833.0,-0.1546
0.325,25.0,64926.4,91215.2,-26288.8,-0.1395
0.325,26.0,66691.8,92272.7,-25580.9,-0.1222
0.325,27.0,68287.9,93238.5,-24950.6,-0.1063
0.325,28.0,69863.0,94331.7,-24468.6,-0.0924
0.325,29.0,71286.3,95328.4,-24042.1,-0.0797
0.325,30.0,72728.4,96208.9,-23480.5,-0.0651
0.35,0.0,-15636.8,48004.4,-63641.2,-0.8664
0.35,1.0,-11032.0,50573.6,-61605.6,-0.8324
0.35,2.0,-6522.1,53125.5,-59647.5,-0.7988
0.35,3.0,-2126.5,55644.8,-57771.2,-0.7668
0.35,4.0,2178.1,58142.6,-55964.4,-0.7323
0.35,5.0,6332.4,60584.5,-54252.1,-0.7017
0.35,6.0,10372.5,62985.5,-52613.0,-0.6708
0.35,7.0,14292.4,65340.5,-51048.1,-0.6393
0.35,8.0,18070.6,67634.2,-49563.7,-0.6096
0.35,9.0,21711.7,69867.0,-48155.3,-0.5807
0.35,10.0,25217.7,72038.0,-46820.3,-0.5527
0.35,11.0,28523.1,74112.1,-45589.0,-0.5261
0.35,12.0,31828.5,76186.1,-44357.6,-0.4994
0.35,13.0,34873.6,78128.3,-43254.7,-0.4745
0.35,14.0,37918.8,80070.5,-42151.7,-0.4497
0.35,15.0,40715.5,81881.0,-41165.4,-0.4267
0.35,16.0,43512.3,83691.5,-40179.1,-0.4036
0.35,17.0,46072.3,85371.1,-39298.8,-0.3823
0.35,18.0,48632.3,87050.7,-38418.5,-0.361
0.35,19.0,50951.7,88594.4,-37642.8,-0.3423
0.35,20.0,53271.1,90138.1,-36867.0,-0.3237
0.35,21.0,55385.3,91562.0,-36176.7,-0.3058
0.35,22.0,57499.5,92985.8,-35486.3,-0.288
0.35,23.0,59419.1,94292.3,-34873.2,-0.2716
0.35,24.0,61338.6,95598.8,-34260.2,-0.2552
0.35,25.0,63079.2,96795.3,-33716.0,-0.2401
0.35,26.0,64819.8,97991.7,-33171.9,-0.225
0.35,27.0,66394.9,99084.9,-32689.9,-0.2112
0.35,28.0,67970.0,100178.0,-32207.9,-0.1973
0.35,29.0,69393.3,101174.7,-31781.4,-0.1846
0.35,30.0,70816.6,102171.4,-31354.8,-0.1718
0.375,0.0,-16727.1,50724.9,-67452.0,-0.9185
0.375,1.0,-12178.8,53427.8,-65606.5,-0.887
0.375,2.0,-7721.8,56113.5,-63835.3,-0.856
0.375,3.0,-3369.4,58770.4,-62139.8,-0.8256
0.375,4.0,874.9,61393.0,-60518.1,-0.7953
0.375,5.0,4987.2,63967.0,-58979.7,-0.7663
0.375,6.0,8983.5,66495.5,-57512.1,-0.7377
0.375,7.0,12850.9,68969.7,-56118.7,-0.7099
0.375,8.0,16600.5,71392.6,-54792.1,-0.6812
0.375,9.0,20206.3,73745.9,-53539.6,-0.6544
0.375,10.0,23677.0,76033.3,-52356.3,-0.6285
0.375,11.0,26957.3,78160.7,-51203.5,-0.6029
0.375,12.0,30224.7,80332.2,-50107.5,-0.5781
0.375,13.0,33269.9,82274.4,-49004.5,-0.5532
0.375,14.0,36258.0,84423.1,-48165.1,-0.5319
0.375,15.0,39003.8,86426.2,-47422.4,-0.5121
0.375,16.0,41800.6,88236.6,-46436.1,-0.4891
