alpha,phi,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0333,4208.3,2.3,4206.0,0.0913
0.0,0.0667,8360.8,4.4,8356.4,0.182
0.0,0.1,12455.1,6.5,12448.6,0.2743
0.0,0.1333,16438.2,8.8,16429.5,0.3652
0.0,0.1667,20356.9,11.3,20345.6,0.4557
0.0,0.2,24200.6,14.2,24186.4,0.546
0.0,0.2333,27944.9,17.5,27927.4,0.6345
0.0,0.2667,31621.3,21.3,31600.0,0.7227
0.0,0.3,35236.7,25.5,35211.2,0.8109
0.0,0.3333,38753.2,30.2,38723.0,0.8979
0.0,0.3667,42178.8,35.3,42143.6,0.9837
0.0,0.4,45516.8,40.8,45476.0,1.0679
0.0,0.4333,48780.0,46.8,48733.2,1.1522
0.0,0.4667,51948.5,53.7,51894.8,1.2339
0.0,0.5,55008.2,61.0,54947.2,1.3127
0.0,0.5333,57956.3,68.6,57887.7,1.3888
0.0,0.5667,60815.8,76.5,60739.3,1.4626
0.0,0.6,63583.5,84.5,63499.0,1.5341
0.0,0.6333,66129.0,92.5,66036.4,1.5986
0.0,0.6667,68674.5,100.6,68573.9,1.6631
0.0,0.7,71220.0,108.7,71111.3,1.7277
0.0,0.7333,73484.5,116.4,73368.1,1.7849
0.0,0.7667,75749.0,124.1,75624.9,1.8421
0.0,0.8,78013.6,131.8,77881.8,1.8993
0.0,0.8333,79990.3,138.9,79851.4,1.9486
0.0,0.8667,81967.1,145.9,81821.1,1.9979
0.0,0.9,83943.8,153.0,83790.8,2.0472
0.0,0.9333,85664.8,159.4,85505.5,2.0913
0.0,0.9667,87385.9,165.7,87220.1,2.1353
0.0,1.0,89106.9,172.1,88934.8,2.1794
0.025,0.0,-1141.7,4102.3,-5244.1,-0.0716
0.025,0.0333,3019.2,4252.9,-1233.7,0.0177
0.025,0.0667,7116.6,4405.9,2710.7,0.1052
0.025,0.1,11151.6,4561.6,6590.0,0.1941
0.025,0.1333,15081.5,4712.6,10368.8,0.2818
0.025,0.1667,18950.9,4855.0,14095.8,0.3694
0.025,0.2,22746.9,4989.1,17757.8,0.4568
0.025,0.2333,26457.0,5130.5,21326.5,0.5438
0.025,0.2667,30075.4,5262.7,24812.6,0.6279
0.025,0.3,33647.9,5388.0,28259.9,0.7134
0.025,0.3333,37120.4,5519.4,31601.0,0.7978
0.025,0.3667,40509.3,5633.2,34876.1,0.8813
0.025,0.4,43807.1,5757.3,38049.8,0.9631
0.025,0.4333,47011.2,5877.2,41134.0,1.0431
0.025,0.4667,50164.8,5990.9,44173.9,1.1245
0.025,0.5,53193.5,6095.8,47097.7,1.2014
0.025,0.5333,56111.9,6204.0,49907.9,1.2757
0.025,0.5667,58943.8,6304.4,52639.4,1.3478
0.025,0.6,61686.9,6397.4,55289.4,1.4178
0.025,0.6333,64220.0,6425.8,57794.3,1.4819
0.025,0.6667,66741.0,6501.4,60239.6,1.5453
0.025,0.7,69261.9,6577.0,62684.9,1.6087
0.025,0.7333,71526.4,6584.7,64941.7,1.6659
0.025,0.7667,73775.9,6659.6,67116.3,1.7222
0.025,0.8,76010.4,6801.6,69208.8,1.7776
0.025,0.8333,77987.1,6808.6,71178.5,1.8269
0.025,0.8667,79953.9,6871.7,73082.3,1.8755
0.025,0.9,81910.8,6990.7,74920.1,1.9235
0.025,0.9333,83614.4,7090.2,76524.2,1.9662
0.025,0.9667,85326.7,7143.1,78183.6,2.0096
0.025,1.0,87047.7,7149.5,79898.2,2.0537
0.05,0.0,-2280.8,8098.2,-10379.0,-0.1418
0.05,0.0333,1824.1,8404.8,-6580.7,-0.0551
0.05,0.0667,5869.8,8704.3,-2834.4,0.0296
0.05,0.1,9836.4,8996.3,840.1,0.1138
0.05,0.1333,13730.4,9282.0,4448.4,0.2003
0.05,0.1667,17550.1,9560.6,7989.6,0.2849
0.05,0.2,21295.1,9832.9,11462.2,0.3693
0.05,0.2333,24960.1,10098.3,14861.8,0.4536
0.05,0.2667,28535.1,10355.9,18179.2,0.5351
0.05,0.3,32060.6,10608.9,21451.6,0.6178
0.05,0.3333,35492.3,10854.2,24638.0,0.6998
0.05,0.3667,38837.6,11092.4,27745.1,0.7806
0.05,0.4,42098.3,11323.4,30774.9,0.8602
0.05,0.4333,45267.9,11546.2,33721.8,0.9381
0.05,0.4667,48362.5,11762.9,36599.7,1.0152
0.05,0.5,51378.3,11973.1,39405.2,1.092
0.05,0.5333,54269.5,12172.6,42096.9,1.1646
0.05,0.5667,57073.2,12364.4,44708.9,1.235
0.05,0.6,59789.6,12548.4,47241.3,1.3033
0.05,0.6333,62294.4,12714.0,49580.3,1.3655
0.05,0.6667,64799.1,12879.7,51919.4,1.4276
0.05,0.7,67303.8,13045.4,54258.5,1.4898
0.05,0.7333,69538.3,13187.4,56350.9,1.5451
0.05,0.7667,71772.7,13329.3,58443.4,1.6005
0.05,0.8,74007.2,13471.3,60535.9,1.6559
0.05,0.8333,75964.0,13590.3,62373.7,1.7038
0.05,0.8667,77920.9,13709.3,64211.6,1.7518
0.05,0.9,79877.8,13828.3,66049.5,1.7997
0.05,0.9333,81581.4,13927.8,67653.5,1.8425
0.05,0.9667,83284.9,14027.3,69257.6,1.8853
0.05,1.0,84988.5,14126.8,70861.7,1.928
0.075,0.0,-3402.8,11982.0,-15384.8,-0.2085
0.075,0.0333,641.4,12430.3,-11788.9,-0.1257
0.075,0.0667,4629.6,12868.4,-8238.8,-0.0442
0.075,0.1,8539.6,13304.3,-4764.7,0.0371
0.075,0.1333,12377.2,13730.1,-1352.9,0.1203
0.075,0.1667,16147.7,14140.3,2007.3,0.2021
0.075,0.2,19845.1,14536.1,5309.1,0.2837
0.075,0.2333,23461.5,14931.6,8529.9,0.365
0.075,0.2667,27009.7,15302.8,11706.9,0.4455
0.075,0.3,30475.4,15678.0,14797.4,0.5242
0.075,0.3333,33866.2,16034.1,17832.1,0.6037
0.075,0.3667,37170.1,16384.2,20785.9,0.6821
0.075,0.4,40390.9,16727.8,23663.0,0.7593
0.075,0.4333,43523.0,17059.3,26463.7,0.8349
0.075,0.4667,46581.4,17377.0,29204.3,0.9099
0.075,0.5,49563.3,17681.1,31882.2,0.9846
0.075,0.5333,52424.8,17977.5,34447.3,1.0554
0.075,0.5667,55200.4,18258.5,36941.9,1.1241
0.075,0.6,57892.1,18524.8,39367.3,1.1909
0.075,0.6333,60387.7,18710.5,41677.3,1.253
0.075,0.6667,62874.3,18942.9,43931.4,1.3146
0.075,0.7,65360.9,19175.3,46185.6,1.3762
0.075,0.7333,67550.2,19447.4,48102.8,1.4285
0.075,0.7667,69762.1,19654.5,50107.6,1.4824
0.075,0.8,71996.6,19796.5,52200.1,1.5378
0.075,0.8333,73931.3,20026.9,53904.4,1.5843
0.075,0.8667,75877.1,20201.6,55675.5,1.6315
0.075,0.9,77834.0,20320.6,57513.4,1.6795
0.075,0.9333,79537.5,20420.1,59117.5,1.7223
0.075,0.9667,81222.3,20564.6,60657.7,1.7636
0.075,1.0,82888.1,20754.1,62134.0,1.8037
0.1,0.0,-4532.1,15761.6,-20293.7,-0.2752
0.1,0.0333,-552.5,16352.0,-16904.5,-0.1961
0.1,0.0667,3386.9,16931.3,-13544.5,-0.1167
0.1,0.1,7244.8,17495.9,-10251.1,-0.0381
0.1,0.1333,11025.7,18046.5,-7020.8,0.0416
0.1,0.1667,14751.2,18585.5,-3834.4,0.1211
0.1,0.2,18397.4,19111.1,-713.7,0.1998
0.1,0.2333,21968.3,19623.3,2345.0,0.2784
0.1,0.2667,25468.3,20122.7,5345.7,0.3561
0.1,0.3,28892.4,20608.5,8283.9,0.4324
0.1,0.3333,32238.5,21081.0,11157.4,0.5093
0.1,0.3667,35501.5,21539.7,13961.7,0.5853
0.1,0.4,38685.0,21984.7,16700.3,0.6603
0.1,0.4333,41782.1,22414.0,19368.1,0.7338
0.1,0.4667,44793.9,22829.0,21964.9,0.8058
0.1,0.5,47749.3,23234.2,24515.1,0.8792
0.1,0.5333,50582.4,23618.2,26964.1,0.9482
0.1,0.5667,53330.0,23987.2,29342.8,1.0153
0.1,0.6,55994.1,24341.3,31652.8,1.0804
0.1,0.6333,58468.7,24662.6,33806.2,1.1411
0.1,0.6667,60943.4,24983.9,35959.5,1.2019
0.1,0.7,63418.0,25305.2,38112.8,1.2626
0.1,0.7333,65607.3,25577.3,40030.0,1.315
0.1,0.7667,67796.6,25849.5,41947.2,1.3673
0.1,0.8,69986.0,26121.6,43864.3,1.4197
0.1,0.8333,71920.7,26352.0,45568.7,1.4662
0.1,0.8667,73855.4,26582.4,47273.0,1.5127
0.1,0.9,75790.1,26812.8,48977.3,1.5592
0.1,0.9333,77456.0,27002.3,50453.7,1.5993
0.1,0.9667,79121.8,27191.8,51930.0,1.6393
0.1,1.0,80787.7,27381.3,53406.3,1.6793
0.125,0.0,-5658.4,19430.8,-25089.3,-0.3404
0.125,0.0333,-1739.5,20161.4,-21900.9,-0.2644
0.125,0.0667,2156.0,20864.7,-18708.7,-0.1869
0.125,0.1,5952.7,21563.2,-15610.5,-0.1116
0.125,0.1333,9678.3,22244.9,-12566.7,-0.035
0.125,0.1667,13352.8,22907.5,-9554.7,0.0416
0.125,0.2,16952.4,23549.0,-6596.6,0.1177
0.125,0.2333,20477.7,24174.1,-3696.4,0.1937
0.125,0.2667,23935.4,24798.5,-863.1,0.2692
0.125,0.3,27311.6,25390.4,1921.2,0.3425
0.125,0.3333,30612.9,25975.8,4637.2,0.4168
0.125,0.3667,33838.4,26531.7,7306.7,0.4907
0.125,0.4,36981.3,27083.2,9898.1,0.5633
0.125,0.4333,40042.6,27607.7,12434.8,0.6347
0.125,0.4667,43015.6,28126.1,14889.5,0.7045
0.125,0.5,45904.7,28614.7,17290.0,0.773
0.125,0.5333,48740.5,29090.6,19649.9,0.8431
0.125,0.5667,51460.2,29545.7,21914.5,0.9084
0.125,0.6,54096.0,29985.6,24110.4,0.9719
0.125,0.6333,56556.4,30325.4,26231.0,1.0321
0.125,0.6667,59002.4,30710.1,28292.3,1.0915
0.125,0.7,61448.5,31094.7,30353.7,1.1509
0.125,0.7333,63637.8,31366.9,32270.9,1.2033
0.125,0.7667,65811.4,31703.5,34107.8,1.2547
0.125,0.8,67969.3,32104.7,35864.5,1.3053
0.125,0.8333,69904.0,32335.1,37568.9,1.3518
0.125,0.8667,71826.9,32620.7,39206.3,1.3976
0.125,0.9,73738.1,32961.4,40776.7,1.4426
0.125,0.9333,75388.9,33242.8,42146.2,1.4816
0.125,0.9667,77047.3,33478.2,43569.1,1.5211
0.125,1.0,78713.1,33667.7,45045.4,1.5611
0.15,0.0,-6781.5,22999.6,-29781.1,-0.4043
0.15,0.0333,-2920.4,23854.9,-26775.2,-0.3314
0.15,0.0667,914.8,24697.4,-23782.6,-0.2569
0.15,0.1,4663.1,25517.1,-20854.0,-0.1837
0.15,0.1333,8329.3,26314.1,-17984.7,-0.1109
0.15,0.1667,11961.0,27098.5,-15137.5,-0.036
0.15,0.2,15510.0,27861.7,-12351.7,0.0373
0.15,0.2333,18985.7,28605.2,-9619.5,0.1105
0.15,0.2667,22401.3,29332.0,-6930.7,0.1835
0.15,0.3,25753.6,30041.6,-4287.9,0.2565
0.15,0.3333,28992.3,30723.2,-1730.8,0.3264
0.15,0.3667,32174.0,31390.0,784.0,0.3977
0.15,0.4,35279.7,32037.1,3242.6,0.4681
0.15,0.4333,38301.9,32661.9,5640.0,0.5374
0.15,0.4667,41242.1,33266.1,7976.0,0.6052
0.15,0.5,44096.6,33848.7,10247.9,0.6717
0.15,0.5333,46886.1,34413.1,12473.0,0.7387
0.15,0.5667,49588.8,34954.8,14634.0,0.8034
0.15,0.6,52198.3,35472.4,16726.0,0.8653
0.15,0.6333,54625.2,35943.0,18682.2,0.9233
0.15,0.6667,57052.1,36413.6,20638.4,0.9813
0.15,0.7,59478.9,36884.2,22594.7,1.0392
0.15,0.7333,61636.8,37285.4,24351.4,1.0898
0.15,0.7667,63794.7,37686.6,26108.0,1.1403
0.15,0.8,65952.5,38087.8,27864.7,1.1909
0.15,0.8333,67863.7,38428.5,29435.2,1.2359
0.15,0.8667,69774.9,38769.2,31005.6,1.2809
0.15,0.9,71686.0,39109.9,32576.1,1.3259
0.15,0.9333,73336.9,39391.3,33945.5,1.3649
0.15,0.9667,74987.7,39672.7,35315.0,1.4039
0.15,1.0,76638.6,39954.1,36684.4,1.4428
0.175,0.0,-7900.7,26461.2,-34361.8,-0.4667
0.175,0.0333,-4093.0,27448.7,-31541.6,-0.3958
0.175,0.0667,-314.4,28409.3,-28723.8,-0.325
0.175,0.1,3376.9,29349.7,-25972.8,-0.2542
0.175,0.1333,6990.4,30269.5,-23279.1,-0.184
0.175,0.1667,10572.3,31160.1,-20587.7,-0.1119
0.175,0.2,14070.4,32040.5,-17970.2,-0.0413
0.175,0.2333,17496.6,32898.2,-15401.7,0.0291
0.175,0.2667,20866.2,33732.4,-12866.2,0.0996
0.175,0.3,24175.2,34542.8,-10367.7,0.1701
0.175,0.3333,27374.1,35322.1,-7948.0,0.2379
0.175,0.3667,30514.8,36088.3,-5573.5,0.3069
0.175,0.4,33580.1,36835.9,-3255.8,0.375
0.175,0.4333,36563.0,37557.9,-994.9,0.442
0.175,0.4667,39467.6,38252.6,1215.0,0.5079
0.175,0.5,42289.5,38919.5,3370.0,0.5725
0.175,0.5333,45027.8,39567.8,5460.1,0.636
0.175,0.5667,47717.8,40195.9,7521.8,0.7004
0.175,0.6,50301.0,40789.5,9511.5,0.7608
0.175,0.6333,52713.4,41277.4,11436.0,0.8182
0.175,0.6667,55111.0,41808.4,13302.6,0.8748
0.175,0.7,57508.7,42339.5,15169.2,0.9315
0.175,0.7333,59647.2,42870.9,16776.3,0.9812
0.175,0.7667,61795.4,43337.2,18458.2,1.0314
0.175,0.8,63953.2,43738.4,20214.9,1.0819
0.175,0.8333,65823.8,44183.3,21640.5,1.1242
0.175,0.8667,67714.7,44576.1,23138.5,1.1679
0.175,0.9,69625.8,44916.8,24709.0,1.2129
0.175,0.9333,71259.5,45289.7,25969.8,1.2507
0.175,0.9667,72901.7,45616.8,27284.9,1.2891
0.175,1.0,74552.6,45898.2,28654.4,1.3281
0.2,0.0,-9016.4,29825.1,-38841.5,-0.5278
0.2,0.0333,-5263.8,30929.1,-36192.9,-0.4595
0.2,0.0667,-1553.3,32011.9,-33565.3,-0.3922
0.2,0.1,2093.8,33071.9,-30978.1,-0.3233
0.2,0.1333,5658.3,34101.3,-28443.0,-0.2555
0.2,0.1667,9173.9,35109.6,-25935.7,-0.1875
0.2,0.2,12633.5,36097.3,-23463.8,-0.1183
0.2,0.2333,16013.9,37057.0,-21043.1,-0.0503
0.2,0.2667,19337.6,37995.3,-18657.7,0.0176
0.2,0.3,22599.1,38911.5,-16312.4,0.0855
0.2,0.3333,25761.6,39795.3,-14033.7,0.1517
0.2,0.3667,28854.7,40655.5,-11800.8,0.2177
0.2,0.4,31882.1,41493.0,-9610.8,0.2837
0.2,0.4333,34829.1,42302.2,-7473.1,0.3487
0.2,0.4667,37698.1,43085.3,-5387.3,0.4125
0.2,0.5,40483.8,43841.1,-3357.3,0.4752
0.2,0.5333,43186.8,44567.2,-1380.5,0.5365
0.2,0.5667,45849.7,45277.3,572.4,0.5994
0.2,0.6,48404.6,45951.5,2453.1,0.6581
0.2,0.6333,50782.5,46565.9,4216.6,0.7133
0.2,0.6667,53160.5,47180.3,5980.2,0.7685
0.2,0.7,55538.4,47794.7,7743.7,0.8237
0.2,0.7333,57676.9,48326.1,9350.8,0.8735
0.2,0.7667,59815.4,48857.5,10957.9,0.9232
0.2,0.8,61953.9,49388.9,12565.0,0.973
0.2,0.8333,63824.5,49833.9,13990.6,1.0153
0.2,0.8667,65695.0,50278.8,15416.3,1.0576
0.2,0.9,67565.6,50723.7,16841.9,1.0999
0.2,0.9333,69199.3,51096.6,18102.7,1.1377
0.2,0.9667,70832.9,51469.4,19363.5,1.1755
0.2,1.0,72466.6,51842.2,20624.3,1.2134
0.225,0.0,-10128.7,33084.7,-43213.4,-0.5874
0.225,0.0333,-6430.7,34301.1,-40731.8,-0.5217
0.225,0.0667,-2771.4,35500.5,-38271.9,-0.4564
0.225,0.1,819.9,36678.0,-35858.1,-0.39
0.225,0.1333,4325.2,37819.6,-33494.4,-0.3256
0.225,0.1667,7783.9,38933.5,-31149.5,-0.2607
0.225,0.2,11200.1,40023.6,-28823.5,-0.1936
0.225,0.2333,14534.8,41081.7,-26547.0,-0.128
0.225,0.2667,17812.3,42120.4,-24308.2,-0.0626
0.225,0.3,21026.3,43138.3,-22112.0,0.0028
0.225,0.3333,24162.2,44118.4,-19956.2,0.0683
0.225,0.3667,27200.2,45066.6,-17866.4,0.1307
0.225,0.4,30186.6,45998.2,-15811.6,0.1944
0.225,0.4333,33094.3,46898.8,-13804.5,0.2572
0.225,0.4667,35927.5,47767.3,-11839.8,0.319
0.225,0.5,38680.1,48602.7,-9922.6,0.3799
0.225,0.5333,41353.1,49406.0,-8052.9,0.4395
0.225,0.5667,43959.5,50193.1,-6233.7,0.4985
0.225,0.6,46509.2,50946.8,-4437.6,0.5575
0.225,0.6333,48872.3,51577.0,-2704.7,0.6122
0.225,0.6667,51220.5,52248.6,-1028.1,0.666
0.225,0.7,53568.7,52920.2,648.5,0.7198
0.225,0.7333,55667.4,53573.6,2093.8,0.7673
0.225,0.7667,57786.0,54166.0,3620.0,0.816
0.225,0.8,59924.5,54697.4,5227.0,0.8657
0.225,0.8333,61770.2,55248.6,6521.6,0.9066
0.225,0.8667,63628.3,55746.7,7881.6,0.9482
0.225,0.9,65498.9,56191.6,9307.3,0.9905
0.225,0.9333,67132.5,56564.4,10568.1,1.0283
0.225,0.9667,68756.6,56982.4,11774.2,1.0656
0.225,1.0,70371.2,57445.6,12925.6,1.1022
0.25,0.0,-11237.3,36249.6,-47486.9,-0.6458
0.25,0.0333,-7598.5,37583.0,-45181.5,-0.5828
0.25,0.0667,-3994.1,38893.5,-42887.6,-0.5198
0.25,0.1,-464.7,40171.7,-40636.5,-0.4569
0.25,0.1333,3003.5,41419.5,-38416.0,-0.3935
0.25,0.1667,6407.6,42635.8,-36228.3,-0.3314
0.25,0.2,9770.2,43831.1,-34060.9,-0.2672
0.25,0.2333,13055.3,44992.0,-31936.8,-0.2042
0.25,0.2667,16286.3,46127.4,-29841.0,-0.1412
0.25,0.3,19456.7,47235.8,-27779.1,-0.0782
0.25,0.3333,22546.3,48311.4,-25765.0,-0.0151
0.25,0.3667,25545.1,49349.3,-23804.2,0.0453
0.25,0.4,28493.5,50364.9,-21871.4,0.1069
0.25,0.4333,31365.1,51347.4,-19982.3,0.1677
0.25,0.4667,34162.1,52298.9,-18136.8,0.2275
0.25,0.5,36878.4,53217.9,-16339.5,0.2865
0.25,0.5333,39518.8,54102.6,-14583.8,0.3442
0.25,0.5667,42086.0,54955.5,-12869.5,0.4007
0.25,0.6,44615.2,55789.7,-11174.5,0.4588
0.25,0.6333,46943.1,56541.7,-9598.6,0.5112
0.25,0.6667,49271.0,57293.7,-8022.7,0.5636
0.25,0.7,51598.9,58045.8,-6446.8,0.616
0.25,0.7333,53697.6,58699.1,-5001.5,0.6635
0.25,0.7667,55796.3,59352.5,-3556.2,0.711
0.25,0.8,57895.0,60005.9,-2110.9,0.7585
0.25,0.8333,59740.7,60557.1,-816.4,0.7994
0.25,0.8667,61586.4,61108.3,478.1,0.8403
0.25,0.9,63432.1,61659.5,1772.6,0.8811
0.25,0.9333,65046.6,62122.6,2924.0,0.9178
0.25,0.9667,66661.2,62585.8,4075.5,0.9544
0.25,1.0,68275.8,63048.9,5226.9,0.9911
0.275,0.0,-12341.4,39313.7,-51655.1,-0.7027
0.275,0.0333,-8757.9,40750.2,-49508.2,-0.6423
0.275,0.0667,-5214.3,42175.4,-47389.7,-0.582
0.275,0.1,-1745.0,43550.3,-45295.4,-0.5222
0.275,0.1333,1678.3,44898.1,-43219.7,-0.4606
0.275,0.1667,5035.2,46215.6,-41180.4,-0.4006
0.275,0.2,8329.3,47505.5,-39176.2,-0.3407
0.275,0.2333,11579.8,48771.3,-37191.5,-0.2786
0.275,0.2667,14768.0,49992.3,-35224.3,-0.2178
0.275,0.3,17890.5,51195.0,-33304.5,-0.1572
0.275,0.3333,20934.1,52362.2,-31428.1,-0.0966
0.275,0.3667,23909.7,53485.4,-29575.7,-0.0367
0.275,0.4,26803.5,54583.3,-27779.8,0.0214
0.275,0.4333,29638.9,55644.9,-26006.0,0.0802
0.275,0.4667,32396.1,56682.7,-24286.6,0.1379
0.275,0.5,35079.6,57676.4,-22596.9,0.195
0.275,0.5333,37688.7,58633.8,-20945.1,0.2511
0.275,0.5667,40225.5,59560.3,-19334.9,0.3059
0.275,0.6,42690.2,60455.6,-17765.4,0.3594
0.275,0.6333,45014.1,61226.3,-16212.2,0.4122
0.275,0.6667,47322.0,62036.4,-14714.4,0.4641
0.275,0.7,49629.9,62846.4,-13216.5,0.516
0.275,0.7333,51728.6,63499.8,-11771.2,0.5635
0.275,0.7667,53806.7,64211.8,-10405.1,0.6099
0.275,0.8,55864.4,64982.5,-9118.1,0.6551
0.275,0.8333,57710.1,65533.7,-7823.6,0.696
0.275,0.8667,59549.8,66139.9,-6590.0,0.7367
0.275,0.9,61383.6,66801.1,-5417.5,0.7772
0.275,0.9333,62961.4,67346.4,-4385.0,0.8114
0.275,0.9667,64557.6,67850.6,-3293.1,0.8469
0.275,1.0,66172.1,68313.8,-2141.7,0.8835
0.3,0.0,-13441.0,42286.5,-55727.5,-0.7584
0.3,0.0333,-9918.0,43829.7,-53747.7,-0.7006
0.3,0.0667,-6425.8,45348.8,-51774.5,-0.6425
0.3,0.1,-3006.5,46830.8,-49837.3,-0.5843
0.3,0.1333,360.7,48280.0,-47919.2,-0.5258
0.3,0.1667,3662.5,49691.1,-46028.6,-0.4684
0.3,0.2,6909.2,51071.0,-44161.8,-0.4107
0.3,0.2333,10111.8,52424.0,-42312.2,-0.3512
0.3,0.2667,13250.1,53741.9,-40491.9,-0.2929
0.3,0.3,16328.1,55028.3,-38700.2,-0.2345
0.3,0.3333,19329.3,56277.1,-36947.8,-0.1761
0.3,0.3667,22266.8,57493.5,-35226.7,-0.1179
0.3,0.4,25116.5,58666.5,-33550.0,-0.0623
0.3,0.4333,27912.4,59810.7,-31898.3,-0.0057
0.3,0.4667,30635.5,60919.6,-30284.1,0.0503
0.3,0.5,33283.3,61991.8,-28708.6,0.1055
0.3,0.5333,35858.1,63025.4,-27167.3,0.1597
0.3,0.5667,38364.3,64023.2,-25658.9,0.2129
0.3,0.6,40801.8,64985.1,-24183.3,0.2649
0.3,0.6333,43088.2,65872.4,-22784.3,0.3153
0.3,0.6667,45374.5,66759.8,-21385.3,0.3657
0.3,0.7,47660.8,67647.1,-19986.2,0.4161
0.3,0.7333,49718.5,68417.7,-18699.2,0.4613
0.3,0.7667,51776.1,69188.4,-17412.2,0.5065
0.3,0.8,53833.8,69959.0,-16125.3,0.5517
0.3,0.8333,55667.5,70620.3,-14952.7,0.5923
0.3,0.8667,57501.3,71281.5,-13780.2,0.6328
0.3,0.9,59335.1,71942.7,-12607.7,0.6733
0.3,0.9333,60912.9,72488.1,-11575.2,0.7075
0.3,0.9667,62490.7,73033.4,-10542.7,0.7417
0.3,1.0,64068.5,73578.7,-9510.2,0.7759
0.325,0.0,-14541.2,45189.7,-59731.0,-0.813
0.325,0.0333,-11078.9,46834.2,-57913.1,-0.7578
0.325,0.0667,-7643.8,48450.1,-56093.9,-0.7021
0.325,0.1,-4277.1,50024.0,-54301.0,-0.6462
0.325,0.1333,-972.0,51566.3,-52538.4,-0.591
0.325,0.1667,2298.5,53069.8,-50771.4,-0.5341
0.325,0.2,5488.0,54540.5,-49052.4,-0.4794
0.325,0.2333,8638.3,55974.9,-47336.6,-0.4228
0.325,0.2667,11731.0,57387.6,-45656.6,-0.3665
0.325,0.3,14764.6,58754.3,-43989.7,-0.3104
0.325,0.3333,17723.5,60081.4,-42357.9,-0.2541
0.325,0.3667,20614.6,61383.7,-40769.1,-0.1982
0.325,0.4,23450.1,62642.8,-39192.7,-0.1424
0.325,0.4333,26186.8,63849.5,-37662.7,-0.0897
0.325,0.4667,28869.5,65038.5,-36169.0,-0.0359
0.325,0.5,31484.5,66180.7,-34696.2,0.0176
0.325,0.5333,34024.5,67287.6,-33263.1,0.0699
0.325,0.5667,36499.9,68354.3,-31854.4,0.1215
0.325,0.6,38909.4,69380.7,-30471.4,0.172
0.325,0.6333,41158.1,70330.0,-29172.0,0.2206
0.325,0.6667,43423.0,71242.2,-27819.3,0.2701
0.325,0.7,45687.9,72154.4,-26466.5,0.3196
0.325,0.7333,47702.9,73037.2,-25334.3,0.3626
0.325,0.7667,49739.2,73863.9,-24124.7,0.4066
0.325,0.8,51796.8,74634.5,-22837.7,0.4519
0.325,0.8333,53630.6,75295.8,-21665.2,0.4924
0.325,0.8667,55448.2,76006.9,-20558.8,0.532
0.325,0.9,57249.6,76768.0,-19518.4,0.5706
0.325,0.9333,58806.9,77400.6,-18593.7,0.6037
0.325,0.9667,60374.4,77989.5,-17615.1,0.6374
0.325,1.0,61952.2,78534.8,-16582.6,0.6716
0.35,0.0,-15636.8,48004.4,-63641.2,-0.8664
0.35,0.0333,-12230.4,49738.0,-61968.4,-0.8135
0.35,0.0667,-8853.4,51446.3,-60299.6,-0.7602
0.35,0.1,-5543.9,53115.1,-58659.1,-0.7066
0.35,0.1333,-2289.1,54743.6,-57032.8,-0.6538
0.35,0.1667,925.4,56342.3,-55416.9,-0.5995
0.35,0.2,4070.5,57897.3,-53826.7,-0.5466
0.35,0.2333,7160.3,59413.7,-52253.4,-0.4935
0.35,0.2667,10219.5,60907.1,-50687.6,-0.4383
0.35,0.3,13205.4,62357.6,-49152.3,-0.3845
0.35,0.3333,16118.3,63766.2,-47647.9,-0.3305
0.35,0.3667,18969.8,65138.7,-46168.9,-0.2766
0.35,0.4,21762.7,66475.9,-44713.2,-0.223
0.35,0.4333,24469.5,67763.5,-43293.9,-0.1714
0.35,0.4667,27109.9,69014.1,-41904.2,-0.12
0.35,0.5,29688.2,70229.2,-40541.0,-0.0685
0.35,0.5333,32196.1,71401.6,-39205.5,-0.0178
0.35,0.5667,34640.0,72535.1,-37895.1,0.0321
0.35,0.6,37018.3,73629.2,-36610.9,0.081
0.35,0.6333,39250.5,74640.1,-35389.5,0.1284
0.35,0.6667,41482.8,75650.9,-34168.2,0.1758
0.35,0.7,43715.0,76661.8,-32946.8,0.2232
0.35,0.7333,45729.9,77544.6,-31814.6,0.2661
0.35,0.7667,47744.9,78427.3,-30682.4,0.3091
0.35,0.8,49759.8,79310.0,-29550.2,0.352
0.35,0.8333,51561.3,80071.1,-28509.8,0.3906
